OBJECTID,DESCRIPTION,NAREA,Max_FAR,INSIDE_X,INSIDE_Y,DETAIL,LANDUSE_CODE,ShapeSTArea,ShapeSTLength
11,Resource and Recreation,3.03428372,,489120.21684304,5518920.3183984,"While a small proportion is privately held, much of the lands designated Resource & Recreation are provincial Crown lands upon which a range of resource uses and activities occur. These lands are subject to land use agreements with First Nations (such as those outlined in Sea to Sky Land Resource Management Plan), legislation and provincial policy. Resource & Recreation lands lie largely (but not exclusively) outside the municipal Growth Management Boundary. Resource & Recreation lands support a wide array of ‘frontcountry’ public and commercial recreation uses, campgrounds and equestrian facilities, extraction and processing areas (e.g. sand and gravel facilities, and forestry operations), and dispersed rural residential that is not connected to municipal services. Trail and recreation assets of vital importance to the community exist throughout Resource & Recreation areas for preservation, active planning and management. Resource & Recreation lands also include inaccessible areas with significant terrain constraints, environmental sensitivity and/or cultural importance. The presence of Squamish Nation cultural sites, training and management areas noted for their cultural and high wildlife habitat values and natural wilderness characteristics in these areas is acknowledged.",18,30342.8381347656,1352.47185946309
12,Resource and Recreation,6.01859627,,488976.67887838,5519058.18414764,"While a small proportion is privately held, much of the lands designated Resource & Recreation are provincial Crown lands upon which a range of resource uses and activities occur. These lands are subject to land use agreements with First Nations (such as those outlined in Sea to Sky Land Resource Management Plan), legislation and provincial policy. Resource & Recreation lands lie largely (but not exclusively) outside the municipal Growth Management Boundary. Resource & Recreation lands support a wide array of ‘frontcountry’ public and commercial recreation uses, campgrounds and equestrian facilities, extraction and processing areas (e.g. sand and gravel facilities, and forestry operations), and dispersed rural residential that is not connected to municipal services. Trail and recreation assets of vital importance to the community exist throughout Resource & Recreation areas for preservation, active planning and management. Resource & Recreation lands also include inaccessible areas with significant terrain constraints, environmental sensitivity and/or cultural importance. The presence of Squamish Nation cultural sites, training and management areas noted for their cultural and high wildlife habitat values and natural wilderness characteristics in these areas is acknowledged.",18,60185.9641113281,1194.96939467072
13,Resource and Recreation,0.20725679,,488874.7034824,5518834.3410731,"While a small proportion is privately held, much of the lands designated Resource & Recreation are provincial Crown lands upon which a range of resource uses and activities occur. These lands are subject to land use agreements with First Nations (such as those outlined in Sea to Sky Land Resource Management Plan), legislation and provincial policy. Resource & Recreation lands lie largely (but not exclusively) outside the municipal Growth Management Boundary. Resource & Recreation lands support a wide array of ‘frontcountry’ public and commercial recreation uses, campgrounds and equestrian facilities, extraction and processing areas (e.g. sand and gravel facilities, and forestry operations), and dispersed rural residential that is not connected to municipal services. Trail and recreation assets of vital importance to the community exist throughout Resource & Recreation areas for preservation, active planning and management. Resource & Recreation lands also include inaccessible areas with significant terrain constraints, environmental sensitivity and/or cultural importance. The presence of Squamish Nation cultural sites, training and management areas noted for their cultural and high wildlife habitat values and natural wilderness characteristics in these areas is acknowledged.",18,2072.5693359375,258.281438142163
14,Resource and Recreation,33.58695724,,486877.8606087,5500494.68683738,"While a small proportion is privately held, much of the lands designated Resource & Recreation are provincial Crown lands upon which a range of resource uses and activities occur. These lands are subject to land use agreements with First Nations (such as those outlined in Sea to Sky Land Resource Management Plan), legislation and provincial policy. Resource & Recreation lands lie largely (but not exclusively) outside the municipal Growth Management Boundary. Resource & Recreation lands support a wide array of ‘frontcountry’ public and commercial recreation uses, campgrounds and equestrian facilities, extraction and processing areas (e.g. sand and gravel facilities, and forestry operations), and dispersed rural residential that is not connected to municipal services. Trail and recreation assets of vital importance to the community exist throughout Resource & Recreation areas for preservation, active planning and management. Resource & Recreation lands also include inaccessible areas with significant terrain constraints, environmental sensitivity and/or cultural importance. The presence of Squamish Nation cultural sites, training and management areas noted for their cultural and high wildlife habitat values and natural wilderness characteristics in these areas is acknowledged.",18,335869.572753906,7818.12446163088
15,Residential Neighbourhood,0.00993047,,488638.04372275,5506705.99099715,"Applies to all urban and suburban neighbourhoods and includes: a wide range of housing types; neighbourhood commercial; institutional uses such as schools and places of worship; utilities and neighbourhood parks; and open spaces typically found within residential areas and are located outside of areas designated as Downtown. Mixed residential and commercial uses are allowed within the same building in areas that are identified as a neighbourhood node. The areas identified as Residential Neighbourhoods are intended to accommodate residential growth for Squamish.",3,99.304931640625,45.3840982375634
16,Residential Neighbourhood,33.1712997,,488859.81441776,5506456.07173889,"Applies to all urban and suburban neighbourhoods and includes: a wide range of housing types; neighbourhood commercial; institutional uses such as schools and places of worship; utilities and neighbourhood parks; and open spaces typically found within residential areas and are located outside of areas designated as Downtown. Mixed residential and commercial uses are allowed within the same building in areas that are identified as a neighbourhood node. The areas identified as Residential Neighbourhoods are intended to accommodate residential growth for Squamish.",3,331712.997070312,3816.45938115812
17,Residential Neighbourhood,0.00232356,,490208.27580791,5508102.41145744,"Applies to all urban and suburban neighbourhoods and includes: a wide range of housing types; neighbourhood commercial; institutional uses such as schools and places of worship; utilities and neighbourhood parks; and open spaces typically found within residential areas and are located outside of areas designated as Downtown. Mixed residential and commercial uses are allowed within the same building in areas that are identified as a neighbourhood node. The areas identified as Residential Neighbourhoods are intended to accommodate residential growth for Squamish.",3,23.235595703125,29.1670221387577
20,Intensive Industrial,19.22075061,,487757.88343332,5503826.52782764,"Applies to medium, heavy and marine industrial use areas. Examples of uses supported within the Intensive Industrial designation include activities such as land intensive primary processing and manufacturing, and large-scale primary processing or fabricating. Specific operations include Squamish Terminals and aggregate extraction.",14,192207.507080078,2995.08338874446
21,Resource and Recreation,1098.20242701,,494901.05033776,5507167.43486058,"While a small proportion is privately held, much of the lands designated Resource & Recreation are provincial Crown lands upon which a range of resource uses and activities occur. These lands are subject to land use agreements with First Nations (such as those outlined in Sea to Sky Land Resource Management Plan), legislation and provincial policy. Resource & Recreation lands lie largely (but not exclusively) outside the municipal Growth Management Boundary. Resource & Recreation lands support a wide array of ‘frontcountry’ public and commercial recreation uses, campgrounds and equestrian facilities, extraction and processing areas (e.g. sand and gravel facilities, and forestry operations), and dispersed rural residential that is not connected to municipal services. Trail and recreation assets of vital importance to the community exist throughout Resource & Recreation areas for preservation, active planning and management. Resource & Recreation lands also include inaccessible areas with significant terrain constraints, environmental sensitivity and/or cultural importance. The presence of Squamish Nation cultural sites, training and management areas noted for their cultural and high wildlife habitat values and natural wilderness characteristics in these areas is acknowledged.",18,10982024.2514648,34299.4768850705
22,Resource and Recreation,0.30934479,,493440.99064972,5514066.31835101,"While a small proportion is privately held, much of the lands designated Resource & Recreation are provincial Crown lands upon which a range of resource uses and activities occur. These lands are subject to land use agreements with First Nations (such as those outlined in Sea to Sky Land Resource Management Plan), legislation and provincial policy. Resource & Recreation lands lie largely (but not exclusively) outside the municipal Growth Management Boundary. Resource & Recreation lands support a wide array of ‘frontcountry’ public and commercial recreation uses, campgrounds and equestrian facilities, extraction and processing areas (e.g. sand and gravel facilities, and forestry operations), and dispersed rural residential that is not connected to municipal services. Trail and recreation assets of vital importance to the community exist throughout Resource & Recreation areas for preservation, active planning and management. Resource & Recreation lands also include inaccessible areas with significant terrain constraints, environmental sensitivity and/or cultural importance. The presence of Squamish Nation cultural sites, training and management areas noted for their cultural and high wildlife habitat values and natural wilderness characteristics in these areas is acknowledged.",18,3093.447265625,575.119273691716
23,Resource and Recreation,0.6890079,,489991.45503346,5509805.94906708,"While a small proportion is privately held, much of the lands designated Resource & Recreation are provincial Crown lands upon which a range of resource uses and activities occur. These lands are subject to land use agreements with First Nations (such as those outlined in Sea to Sky Land Resource Management Plan), legislation and provincial policy. Resource & Recreation lands lie largely (but not exclusively) outside the municipal Growth Management Boundary. Resource & Recreation lands support a wide array of ‘frontcountry’ public and commercial recreation uses, campgrounds and equestrian facilities, extraction and processing areas (e.g. sand and gravel facilities, and forestry operations), and dispersed rural residential that is not connected to municipal services. Trail and recreation assets of vital importance to the community exist throughout Resource & Recreation areas for preservation, active planning and management. Resource & Recreation lands also include inaccessible areas with significant terrain constraints, environmental sensitivity and/or cultural importance. The presence of Squamish Nation cultural sites, training and management areas noted for their cultural and high wildlife habitat values and natural wilderness characteristics in these areas is acknowledged.",18,6890.07885742188,1408.53981051583
24,"Parks, Greenway Corridor and Recreation",2.20597774,,488022.33655781,5515539.51201481,"Applies to lands permanently set aside for: provincial, regional and municipal parks; major recreational areas and natural greenway or ‘blueway’ corridors; selected areas within the 200-year floodplain; campgrounds; golf courses; and selected undeveloped portions of the Highway corridor. This designation also supports stormwater management and other ecological functions within natural areas, and provides for community uses and amenities such as social gathering and activity spaces, civic facilities, recreation access and play spaces, gardening, and respite spaces.",2,22059.7766113281,664.74893478563
25,Resource and Recreation,6.624e-05,,490179.52220408,5511184.53462206,"While a small proportion is privately held, much of the lands designated Resource & Recreation are provincial Crown lands upon which a range of resource uses and activities occur. These lands are subject to land use agreements with First Nations (such as those outlined in Sea to Sky Land Resource Management Plan), legislation and provincial policy. Resource & Recreation lands lie largely (but not exclusively) outside the municipal Growth Management Boundary. Resource & Recreation lands support a wide array of ‘frontcountry’ public and commercial recreation uses, campgrounds and equestrian facilities, extraction and processing areas (e.g. sand and gravel facilities, and forestry operations), and dispersed rural residential that is not connected to municipal services. Trail and recreation assets of vital importance to the community exist throughout Resource & Recreation areas for preservation, active planning and management. Resource & Recreation lands also include inaccessible areas with significant terrain constraints, environmental sensitivity and/or cultural importance. The presence of Squamish Nation cultural sites, training and management areas noted for their cultural and high wildlife habitat values and natural wilderness characteristics in these areas is acknowledged.",18,0.66259765625,65.4994071337567
26,"Parks, Greenway Corridor and Recreation",1.999023,,492690.55176705,5508299.71254861,"Applies to lands permanently set aside for: provincial, regional and municipal parks; major recreational areas and natural greenway or ‘blueway’ corridors; selected areas within the 200-year floodplain; campgrounds; golf courses; and selected undeveloped portions of the Highway corridor. This designation also supports stormwater management and other ecological functions within natural areas, and provides for community uses and amenities such as social gathering and activity spaces, civic facilities, recreation access and play spaces, gardening, and respite spaces.",2,19990.23046875,741.926855294931
27,Resource and Recreation,0.01240757,,489824.53476852,5511548.57149883,"While a small proportion is privately held, much of the lands designated Resource & Recreation are provincial Crown lands upon which a range of resource uses and activities occur. These lands are subject to land use agreements with First Nations (such as those outlined in Sea to Sky Land Resource Management Plan), legislation and provincial policy. Resource & Recreation lands lie largely (but not exclusively) outside the municipal Growth Management Boundary. Resource & Recreation lands support a wide array of ‘frontcountry’ public and commercial recreation uses, campgrounds and equestrian facilities, extraction and processing areas (e.g. sand and gravel facilities, and forestry operations), and dispersed rural residential that is not connected to municipal services. Trail and recreation assets of vital importance to the community exist throughout Resource & Recreation areas for preservation, active planning and management. Resource & Recreation lands also include inaccessible areas with significant terrain constraints, environmental sensitivity and/or cultural importance. The presence of Squamish Nation cultural sites, training and management areas noted for their cultural and high wildlife habitat values and natural wilderness characteristics in these areas is acknowledged.",18,124.07568359375,334.706006435976
28,"Parks, Greenway Corridor and Recreation",2.05819887,,492282.04745472,5508658.54206451,"Applies to lands permanently set aside for: provincial, regional and municipal parks; major recreational areas and natural greenway or ‘blueway’ corridors; selected areas within the 200-year floodplain; campgrounds; golf courses; and selected undeveloped portions of the Highway corridor. This designation also supports stormwater management and other ecological functions within natural areas, and provides for community uses and amenities such as social gathering and activity spaces, civic facilities, recreation access and play spaces, gardening, and respite spaces.",2,20581.9870605469,1075.75308060349
29,Resource and Recreation,11.94405846,,492860.24599566,5511027.37992318,"While a small proportion is privately held, much of the lands designated Resource & Recreation are provincial Crown lands upon which a range of resource uses and activities occur. These lands are subject to land use agreements with First Nations (such as those outlined in Sea to Sky Land Resource Management Plan), legislation and provincial policy. Resource & Recreation lands lie largely (but not exclusively) outside the municipal Growth Management Boundary. Resource & Recreation lands support a wide array of ‘frontcountry’ public and commercial recreation uses, campgrounds and equestrian facilities, extraction and processing areas (e.g. sand and gravel facilities, and forestry operations), and dispersed rural residential that is not connected to municipal services. Trail and recreation assets of vital importance to the community exist throughout Resource & Recreation areas for preservation, active planning and management. Resource & Recreation lands also include inaccessible areas with significant terrain constraints, environmental sensitivity and/or cultural importance. The presence of Squamish Nation cultural sites, training and management areas noted for their cultural and high wildlife habitat values and natural wilderness characteristics in these areas is acknowledged.",18,119440.582763672,1941.91347951939
31,Resource and Recreation,46.5168973,,492810.5882156,5511666.42295078,"While a small proportion is privately held, much of the lands designated Resource & Recreation are provincial Crown lands upon which a range of resource uses and activities occur. These lands are subject to land use agreements with First Nations (such as those outlined in Sea to Sky Land Resource Management Plan), legislation and provincial policy. Resource & Recreation lands lie largely (but not exclusively) outside the municipal Growth Management Boundary. Resource & Recreation lands support a wide array of ‘frontcountry’ public and commercial recreation uses, campgrounds and equestrian facilities, extraction and processing areas (e.g. sand and gravel facilities, and forestry operations), and dispersed rural residential that is not connected to municipal services. Trail and recreation assets of vital importance to the community exist throughout Resource & Recreation areas for preservation, active planning and management. Resource & Recreation lands also include inaccessible areas with significant terrain constraints, environmental sensitivity and/or cultural importance. The presence of Squamish Nation cultural sites, training and management areas noted for their cultural and high wildlife habitat values and natural wilderness characteristics in these areas is acknowledged.",18,465168.9765625,2998.26121891079
32,Resource and Recreation,47.6408603,,493301.564854,5513319.87630536,"While a small proportion is privately held, much of the lands designated Resource & Recreation are provincial Crown lands upon which a range of resource uses and activities occur. These lands are subject to land use agreements with First Nations (such as those outlined in Sea to Sky Land Resource Management Plan), legislation and provincial policy. Resource & Recreation lands lie largely (but not exclusively) outside the municipal Growth Management Boundary. Resource & Recreation lands support a wide array of ‘frontcountry’ public and commercial recreation uses, campgrounds and equestrian facilities, extraction and processing areas (e.g. sand and gravel facilities, and forestry operations), and dispersed rural residential that is not connected to municipal services. Trail and recreation assets of vital importance to the community exist throughout Resource & Recreation areas for preservation, active planning and management. Resource & Recreation lands also include inaccessible areas with significant terrain constraints, environmental sensitivity and/or cultural importance. The presence of Squamish Nation cultural sites, training and management areas noted for their cultural and high wildlife habitat values and natural wilderness characteristics in these areas is acknowledged.",18,476408.602050781,4145.04070243151
33,Resource and Recreation,47.9403047,,493014.91466445,5512533.91225163,"While a small proportion is privately held, much of the lands designated Resource & Recreation are provincial Crown lands upon which a range of resource uses and activities occur. These lands are subject to land use agreements with First Nations (such as those outlined in Sea to Sky Land Resource Management Plan), legislation and provincial policy. Resource & Recreation lands lie largely (but not exclusively) outside the municipal Growth Management Boundary. Resource & Recreation lands support a wide array of ‘frontcountry’ public and commercial recreation uses, campgrounds and equestrian facilities, extraction and processing areas (e.g. sand and gravel facilities, and forestry operations), and dispersed rural residential that is not connected to municipal services. Trail and recreation assets of vital importance to the community exist throughout Resource & Recreation areas for preservation, active planning and management. Resource & Recreation lands also include inaccessible areas with significant terrain constraints, environmental sensitivity and/or cultural importance. The presence of Squamish Nation cultural sites, training and management areas noted for their cultural and high wildlife habitat values and natural wilderness characteristics in these areas is acknowledged.",18,479403.045898438,3388.70236279325
34,Resource and Recreation,214.72336142,,497770.39718792,5506857.42259466,"While a small proportion is privately held, much of the lands designated Resource & Recreation are provincial Crown lands upon which a range of resource uses and activities occur. These lands are subject to land use agreements with First Nations (such as those outlined in Sea to Sky Land Resource Management Plan), legislation and provincial policy. Resource & Recreation lands lie largely (but not exclusively) outside the municipal Growth Management Boundary. Resource & Recreation lands support a wide array of ‘frontcountry’ public and commercial recreation uses, campgrounds and equestrian facilities, extraction and processing areas (e.g. sand and gravel facilities, and forestry operations), and dispersed rural residential that is not connected to municipal services. Trail and recreation assets of vital importance to the community exist throughout Resource & Recreation areas for preservation, active planning and management. Resource & Recreation lands also include inaccessible areas with significant terrain constraints, environmental sensitivity and/or cultural importance. The presence of Squamish Nation cultural sites, training and management areas noted for their cultural and high wildlife habitat values and natural wilderness characteristics in these areas is acknowledged.",18,2147233.61401367,6482.86846207535
38,Residential Neighbourhood,0.03854583,,490211.47166416,5511543.3626142,"Applies to all urban and suburban neighbourhoods and includes: a wide range of housing types; neighbourhood commercial; institutional uses such as schools and places of worship; utilities and neighbourhood parks; and open spaces typically found within residential areas and are located outside of areas designated as Downtown. Mixed residential and commercial uses are allowed within the same building in areas that are identified as a neighbourhood node. The areas identified as Residential Neighbourhoods are intended to accommodate residential growth for Squamish.",3,385.457763671875,173.957265337925
42,Industrial Business,1.46221292,,491897.43209133,5509111.93271876,"Applies to areas intended for primarily light industrial activity. Some limited commercial and business service activity is supported provided that it complements the light industrial uses. Examples of suitable commercial uses include minor offices that are not used by the general public on a day-to-day basis, accessory retail sales of products manufactured on-site, indoor recreation requiring warehouse-type space, limited convenience services primarily serving the businesses and employees of the business park, home-improvement warehouse stores, and auto-oriented services. This designation applies to much of the Squamish Business Park.",15,14622.1293945312,532.843300062662
43,Residential Neighbourhood,0.05518153,,493335.60385078,5508974.24597308,"Applies to all urban and suburban neighbourhoods and includes: a wide range of housing types; neighbourhood commercial; institutional uses such as schools and places of worship; utilities and neighbourhood parks; and open spaces typically found within residential areas and are located outside of areas designated as Downtown. Mixed residential and commercial uses are allowed within the same building in areas that are identified as a neighbourhood node. The areas identified as Residential Neighbourhoods are intended to accommodate residential growth for Squamish.",3,551.8154296875,1423.79513829636
44,Civic and Institutional,8.82949263,,488745.53237159,5513836.79066684,"Applies to lands designated for civic and community institutional purposes for municipal, educational or cultural activities. This includes: municipal facilities and schools that are located outside the Downtown or Residential Neighbourhoods designation; health and welfare services; places of worship, burial and assembly; public care; government offices; and public safety.",5,88294.9265136719,1206.00120797936
45,"Facilities, Utilities, and Transportation Corridor",37.37838815,,488363.52416332,5514452.89677564,"Applies to major municipal facilities, utilities and transportation corridors. These include the municipal landfill, water towers, the BC Hydro Substation, transportation related buildings and services (e.g. Darrell Bay Ferry Terminal), and the Squamish Municipal Airport. All municipal roads are designated Facilities, Utilities & Transportation corridors regardless of the land use shown on Schedule B. This designation also includes lands identified as critical future transportation hubs or corridors for preservation in order to ensure future mobility needs can be accounted for and met over time.",17,373783.881347656,2471.89506329799
49,Highway and Tourist Commercial,0.92564495,,489541.16828897,5505302.63906219,"Applies to highway-oriented, tourist and service commercial uses along Highway 99 and associated highway buffer areas. Examples of uses within the Highway and Tourist Commercial designation include a range of tourist accommodation (e.g. hotels and campgrounds), and tourist commercial businesses and services (e.g. vehicle fueling stations).",13,9256.44897460938,528.571577210351
50,Conservation and Ecological Reserves,0.36334847,,484890.72365734,5499205.33083466,"Applies to natural or semi-natural areas with high environmental values intended for conservation. Lands consist of protected areas and ecological reserves with an established management plan that identifies the primary focus as habitat protection or environmentally sensitive lands. These lands are secured by federal, provincial or municipal ownership, legal conservation covenant, or protected area zoning (in future). Examples include the Skwelwil'em Wildlife Management Area (Squamish Estuary), Brackendale Eagles Provincial Park, and Baynes Island Ecological Reserve. This designation supports natural areas recognized as providing critical ecological services such as flood protection and stormwater management.",1,3633.484375,1894.48505268859
51,Restricted Industrial,32.61718556,,488312.56744239,5515787.11295454,"Applies to lands situated exposed to natural hazards suitable for land-intensive medium and heavy industrial purposes, e.g. areas of the Cheekeye Fan or areas within a floodplain that are not protected by dike infrastructure. Allows for Resource and Recreation-related activities, open space and outdoor recreational activities where the predominant activity is not enclosed within a building, does not require permanent structures or buildings, and is not reliant on municipal servicing. Supported uses include log sorts, sawmills and wood manufacturing, waste management, and recycling facilities. Restricted industrial activities within the Cheekeye Fan are subject to the Cheekeye Debris Flow Hazard policies in Section 11. Lands in the Cheekeye Fan with this designation will be reviewed in conjunction with land use and development control policies in the event that an approved area-wide mitigation scheme for Cheekeye Fan is put in place.",16,326171.857666016,2819.40713127655
55,Mixed Use Commercial,1.77501091,,490185.89785407,5509718.43078686,"Applies to areas with ground level commercial uses (e.g. retail and service commercial) with complementary office, professional services and/or residential uses allowed above the first floor. These areas are intended to accommodate residential growth for Squamish.",6,17750.109375,561.553096849119
